Brand;Price;Ram;CPU;GPU;Display;Storage
Aorus;814900;32;4681,43;0,00;66,69;17142,86
ASUS;249999;32;5157,91;0,00;52,64;8571,43
MSI;209999;32;4814,25;0,00;94,10;2142,86
MSI;252900;64;4084,38;0,00;46,75;4285,71
MSI;204999;64;4814,25;0,00;46,75;4285,71
Dell;119900;24;3924,67;0,00;35,04;2142,86
MSI;249900;64;5209,73;0,00;46,75;4285,71
HP;61999;16;2253,44;11,05;11,28;548,57
HP;129900;64;3940,23;0,00;11,55;2142,86
HP;114900;24;3940,23;0,00;11,55;2142,86
HP;109999;12;4233,09;0,00;32,40;2142,86
MSI;99999;8;2375,46;0,00;41,61;1097,14
ASUS;184999;16;5157,91;0,00;52,64;1097,14
HP;109900;16;4233,09;0,00;11,55;2142,86
HP;174900;32;4814,25;0,00;25,99;4285,71
HP;153900;32;3540,62;0,00;11,55;466,67
HP;197900;64;4233,09;0,00;25,99;4285,71
HP;150900;64;4233,09;0,00;11,55;4285,71
Acer;90065;16;3785,61;0,00;32,40;1097,14
ASUS;64900;20;3279,53;0,00;28,75;2142,86
MSI;476900;16;4814,25;0,00;48,14;17142,86
Acer;82000;12;3279,53;0,00;32,40;233,33
Acer;120699;64;3675,57;0,00;46,75;4285,71
LG;159900;16;3279,53;0,00;28,75;1097,14
LG;169900;16;3540,62;0,00;46,62;2142,86
Aorus;159900;16;4814,25;0,00;66,69;2142,86
Lenovo;230400;64;3035,95;0,00;28,75;2142,86
ASUS;109900;16;4814,25;0,00;100,91;2142,86
Dell;183999;40;4681,43;0,00;30,14;2142,86
MSI;298499;64;4491,93;0,00;46,75;4285,71
ASUS;209900;32;4221,91;0,00;80,18;2142,86
HP;64900;16;3370,68;0,00;11,28;2142,86
Dell;175900;64;4180,51;11,62;30,14;4285,71
HP;49900;16;3059,80;0,00;11,28;548,57
HP;89999;32;3138,05;0,00;32,40;4285,71
HP;154900;16;4681,43;0,00;63,19;1097,14
Lenovo;324900;128;5069,15;0,00;93,70;17142,86
ASUS;119900;16;3668,64;0,00;46,75;2142,86
ASUS;64999;8;4036,08;0,00;25,99;1097,14
HP;84999;16;3979,73;0,00;25,99;2142,86
ASUS;165900;32;5058,01;0,00;46,75;4285,71
Dell;371900;32;4681,43;0,00;86,24;17142,86
Dell;365900;32;4681,43;0,00;86,24;17142,86
Apple;159900;16;0,00;0,00;61,87;1097,14
HP;185900;64;4233,09;0,00;25,99;2142,86
MSI;399900;32;4274,23;0,00;43,99;2142,86
ASUS;35999;16;3021,49;0,00;12,68;466,67
HP;87999;16;3801,17;0,00;28,75;1097,14
ASUS;92999;16;3540,62;0,00;28,75;1097,14
Lenovo;226200;16;4727,12;0,00;46,62;1097,14
Lenovo;45388;4;3059,80;0,00;32,40;274,29
HP;111500;4;3059,80;0,00;11,67;548,57
ASUS;128900;16;4491,93;0,00;85,08;2142,86
Dell;19999;4;2182,62;4,89;12,16;68,57
Gigabyte;209900;32;4681,43;0,00;89,59;4285,71
HP;43999;4;1810,09;2,64;11,55;548,57
Acer;73900;8;3133,96;0,00;46,75;1097,14
Lenovo;31432;4;555,72;11,05;25,10;68,57
