Name;Brand;Price;Ram;CPU;GPU;Display;Storage
Acer Predator Helios 16;Acer;167126;16;5139,135439;0;85,1882764;2142,857143
Acer Predator Helios 16;Acer;176917;16;5139,135439;0;69,11684783;2142,857143
HP 17;HP;82900;32;3966,329123;0;25,98752411;2142,857143
HP ZBook Fury 15 G8;HP;357499;64;4037,036693;0;28,75459559;16285,71429
HP ZBook Fury 15 G8;HP;227999;64;4037,036693;0;28,75459559;4285,714286
HP 17;HP;72900;16;3801,171177;0;11,54554906;1097,142857
Lenovo ThinkPad E15 Gen 4;Lenovo;84999;16;3924,666866;0;28,75459559;2142,857143
Acer Aspire 7;Acer;168999;64;4180,505353;0;46,75459559;2142,857143
ASUS Vivobook 17X;ASUS;149999;16;4036,075533;0;25,98752411;8571,428571
ASUS Vivobook 17;ASUS;69999;12;2849,668235;0;11,54554906;548,5714286
ASUS Vivobook 15;ASUS;69900;16;0;0;28,75459559;2142,857143
ASUS Vivobook 17X;ASUS;64900;12;3811,785213;0;25,98752411;2142,857143
HP 15;HP;146900;64;3279,528958;0;12,67922794;4285,714286
HP 15;HP;95999;16;3801,171177;0;28,75459559;2142,857143
ASUS ROG Zephyrus G14;ASUS;241900;32;5058,005254;0;78,02364865;4285,714286
Lenovo ThinkPad P15v Gen 3;Lenovo;159999;64;4681,425152;0;28,75459559;4285,714286
HP 15;HP;83999;20;3138,054716;0;28,75459559;2142,857143
ASUS TUF Dash F15;ASUS;109900;12;3668,637276;0;46,75459559;1097,142857
HP Spectre x360 16;HP;192500;32;4180,505353;43,78731469;129,5652174;2142,857143
HP 14;HP;40599;32;1810,088487;2,637128693;11,52745777;137,1428571
HP 14;HP;64999;12;2718,602419;0;32,40413851;1097,142857
MSI GF65 Thin;MSI;84999;8;2375,457837;0;41,61173845;1097,142857
Acer Predator Helios 300;Acer;150999;24;4681,425152;0;51,25459559;2142,857143
MSI Vector GP66;MSI;196682;16;4491,934191;0;66,68834842;2142,857143
HP 15;HP;30900;4;1995,100202;2,637128693;28,75459559;274,2857143
Lenovo Yoga 7i 16;Lenovo;299900;32;4681,425152;43,78731469;42,85054348;4285,714286
HP ENVY 17;HP;117599;16;3540,616004;52,01423462;25,98752411;466,6666667
ASUS ROG Zephyrus G15;ASUS;141900;16;4132,962943;0;66,68834842;2142,857143
ASUS TUF Dash F15;ASUS;139999;32;4491,934191;0;46,75459559;2142,857143
ASUS ROG Strix G15;ASUS;130999;16;0;202,7384825;66,68834842;1097,142857
Razer Blade 17;Razer;164900;16;4697,745949;0;61,64416586;2142,857143
Acer Swift 3;Acer;92651;16;3668,637276;0;27,84613832;1097,142857
HP Victus 16;HP;89900;16;3675,572492;0;27,84613832;1097,142857
Alienware x17 R2;Alienware;275132;32;4681,425152;0;48,48752411;2142,857143
ASUS ROG Strix G15;ASUS;154900;16;0;202,7384825;66,68834842;2142,857143
ASUS X555;ASUS;62399;8;0;7,567029163;11,27864112;1097,142857
Dell Inspiron 15 5577;Dell;169999;8;0;0;12,67922794;466,6666667
ASUS VivoBook S15 (S533EA-DH51-WH);ASUS;64999;8;3279,528958;0;28,75459559;1097,142857
Lenovo IdeaPad 3 14;Lenovo;66900;16;3138,054716;0;32,40413851;1097,142857
Lenovo ThinkPad T14 Gen 2;Lenovo;149900;16;3540,616004;0;32,40413851;1097,142857
MSI Katana 15;MSI;174999;32;4491,934191;0;46,75459559;8571,428571
HP 15;HP;61900;24;3059,796176;0;11,27864112;2142,857143
Lenovo ThinkPad P15v Gen 3;Lenovo;139900;48;3962,122435;0;28,75459559;4285,714286
ASUS VivoBook 15;ASUS;71199;12;3279,528958;0;28,75459559;1097,142857
ASUS VivoBook 15;ASUS;67999;36;3059,796176;0;28,75459559;2142,857143
HP Spectre x360 16;HP;149900;16;4814,25426;0;63,18858696;1097,142857
ASUS VivoBook 15;ASUS;55999;8;3059,796176;0;28,75459559;1097,142857
Acer Aspire Vero;Acer;84900;16;3577,845362;0;28,75459559;1097,142857
Acer Aspire 5;Acer;113900;12;3540,616004;0;28,75459559;1097,142857
Lenovo ThinkPad P14s Gen 2;Lenovo;115999;32;0;0;32,40413851;4285,714286
ASUS VivoBook 15;ASUS;79999;36;3279,528958;0;28,75459559;4285,714286
Dell Latitude 5430;Dell;102899;64;4016,815944;0;32,40413851;2142,857143
HP 17;HP;129900;16;3279,528958;52,01423462;25,98752411;466,6666667
HP 17;HP;226900;32;3279,528958;52,01423462;25,98752411;933,3333333
ASUS TUF Gaming A17;ASUS;75900;8;3218,115158;0;43,98752411;1097,142857
HP 17;HP;111900;16;3979,729698;0;25,98752411;2142,857143
ASUS VivoBook K571;ASUS;109900;36;3133,962693;0;28,75459559;2142,857143
Acer Swift X;Acer;129900;16;4180,505353;0;44,54919764;2142,857143
Acer Aspire 5;Acer;49900;8;473,2347082;0;28,75459559;466,6666667
MSI Cyborg 15;MSI;144900;16;5157,914468;0;46,75459559;1097,142857
HP 17;HP;170900;64;4233,092812;0;11,54554906;8571,428571
Lenovo ThinkPad E14 Gen 4;Lenovo;83499;8;3704,222483;0;32,40413851;548,5714286
Lenovo ThinkPad E14 Gen 3;Lenovo;111499;16;3370,678745;0;32,40413851;2142,857143
